	s_domain	domain_type	encoder_type	metric_name	metric_value	full_metric_name	clip_model_name
60	titan_armin (image)	image	orig	quality	0.259521484375	quality/titan_armin/ViT-B-32,	ViT-B-32
61	titan_armin (image)	image	orig	diversity	0.2388916015625	diversity/titan_armin/ViT-B-32,	ViT-B-32
62	titan_armin (image)	image	orig	quality	0.279541015625	quality/titan_armin/ViT-B-16,	ViT-B-16
63	titan_armin (image)	image	orig	diversity	0.23046875	diversity/titan_armin/ViT-B-16,	ViT-B-16
64	titan_armin (image)	image	e4e	quality	0.263671875	quality/titan_armin/ViT-B-32,	ViT-B-32
65	titan_armin (image)	image	e4e	diversity	0.217041015625	diversity/titan_armin/ViT-B-32,	ViT-B-32
66	titan_armin (image)	image	e4e	quality	0.286376953125	quality/titan_armin/ViT-B-16,	ViT-B-16
67	titan_armin (image)	image	e4e	diversity	0.21435546875	diversity/titan_armin/ViT-B-16,	ViT-B-16
68	titan_armin (image)	image	fse	quality	0.26318359375	quality/titan_armin/ViT-B-32,	ViT-B-32
69	titan_armin (image)	image	fse	diversity	0.21484375	diversity/titan_armin/ViT-B-32,	ViT-B-32
70	titan_armin (image)	image	fse	quality	0.28466796875	quality/titan_armin/ViT-B-16,	ViT-B-16
71	titan_armin (image)	image	fse	diversity	0.2073974609375	diversity/titan_armin/ViT-B-16,	ViT-B-16
72	titan_armin (image)	image	fse_with_features	quality	0.2197265625	quality/titan_armin/ViT-B-32,	ViT-B-32
73	titan_armin (image)	image	fse_with_features	diversity	0.308837890625	diversity/titan_armin/ViT-B-32,	ViT-B-32
74	titan_armin (image)	image	fse_with_features	quality	0.2366943359375	quality/titan_armin/ViT-B-16,	ViT-B-16
75	titan_armin (image)	image	fse_with_features	diversity	0.28515625	diversity/titan_armin/ViT-B-16,	ViT-B-16
76	titan_armin (image)	image	fse_with_generator_shift	quality	0.232666015625	quality/titan_armin/ViT-B-32,	ViT-B-32
77	titan_armin (image)	image	fse_with_generator_shift	diversity	0.281494140625	diversity/titan_armin/ViT-B-32,	ViT-B-32
78	titan_armin (image)	image	fse_with_generator_shift	quality	0.2509765625	quality/titan_armin/ViT-B-16,	ViT-B-16
79	titan_armin (image)	image	fse_with_generator_shift	diversity	0.263916015625	diversity/titan_armin/ViT-B-16,	ViT-B-16
80	joker (image)	image	orig	quality	0.299560546875	quality/joker/ViT-B-32,	ViT-B-32
81	joker (image)	image	orig	diversity	0.1270751953125	diversity/joker/ViT-B-32,	ViT-B-32
82	joker (image)	image	orig	quality	0.30517578125	quality/joker/ViT-B-16,	ViT-B-16
83	joker (image)	image	orig	diversity	0.1407470703125	diversity/joker/ViT-B-16,	ViT-B-16
