	s_domain	domain_type	encoder_type	metric_name	metric_value	full_metric_name	clip_model_name
73	disney_princess (image)	image	e4e	diversity	0.157958984375	diversity/disney_princess/ViT-B-32,	ViT-B-32
74	disney_princess (image)	image	fse	quality	0.630859375	quality/disney_princess/ViT-B-32,	ViT-B-32
75	disney_princess (image)	image	fse	diversity	0.1680908203125	diversity/disney_princess/ViT-B-32,	ViT-B-32
76	disney_princess (image)	image	fse_with_features	quality	0.5400390625	quality/disney_princess/ViT-B-32,	ViT-B-32
77	disney_princess (image)	image	fse_with_features	diversity	0.3173828125	diversity/disney_princess/ViT-B-32,	ViT-B-32
78	disney_princess (image)	image	fse_with_generator_shift	quality	0.59130859375	quality/disney_princess/ViT-B-32,	ViT-B-32
79	disney_princess (image)	image	fse_with_generator_shift	diversity	0.2305908203125	diversity/disney_princess/ViT-B-32,	ViT-B-32
80	remi_castaneda_sean_connery_final (image)	image	orig	quality	0.7607421875	quality/remi_castaneda_sean_connery_final/ViT-B-32,	ViT-B-32
81	remi_castaneda_sean_connery_final (image)	image	orig	diversity	0.2646484375	diversity/remi_castaneda_sean_connery_final/ViT-B-32,	ViT-B-32
82	remi_castaneda_sean_connery_final (image)	image	e4e	quality	0.75048828125	quality/remi_castaneda_sean_connery_final/ViT-B-32,	ViT-B-32
83	remi_castaneda_sean_connery_final (image)	image	e4e	diversity	0.2393798828125	diversity/remi_castaneda_sean_connery_final/ViT-B-32,	ViT-B-32
84	remi_castaneda_sean_connery_final (image)	image	fse	quality	0.72900390625	quality/remi_castaneda_sean_connery_final/ViT-B-32,	ViT-B-32
85	remi_castaneda_sean_connery_final (image)	image	fse	diversity	0.2464599609375	diversity/remi_castaneda_sean_connery_final/ViT-B-32,	ViT-B-32
86	remi_castaneda_sean_connery_final (image)	image	fse_with_features	quality	0.64111328125	quality/remi_castaneda_sean_connery_final/ViT-B-32,	ViT-B-32
87	remi_castaneda_sean_connery_final (image)	image	fse_with_features	diversity	0.322265625	diversity/remi_castaneda_sean_connery_final/ViT-B-32,	ViT-B-32
88	remi_castaneda_sean_connery_final (image)	image	fse_with_generator_shift	quality	0.6875	quality/remi_castaneda_sean_connery_final/ViT-B-32,	ViT-B-32
89	remi_castaneda_sean_connery_final (image)	image	fse_with_generator_shift	diversity	0.2861328125	diversity/remi_castaneda_sean_connery_final/ViT-B-32,	ViT-B-32
90	stanislav_galai_04_23 (image)	image	orig	quality	0.75390625	quality/stanislav_galai_04_23/ViT-B-32,	ViT-B-32
91	stanislav_galai_04_23 (image)	image	orig	diversity	0.267333984375	diversity/stanislav_galai_04_23/ViT-B-32,	ViT-B-32
92	stanislav_galai_04_23 (image)	image	e4e	quality	0.740234375	quality/stanislav_galai_04_23/ViT-B-32,	ViT-B-32
93	stanislav_galai_04_23 (image)	image	e4e	diversity	0.255859375	diversity/stanislav_galai_04_23/ViT-B-32,	ViT-B-32
94	stanislav_galai_04_23 (image)	image	fse	quality	0.71240234375	quality/stanislav_galai_04_23/ViT-B-32,	ViT-B-32
95	stanislav_galai_04_23 (image)	image	fse	diversity	0.27490234375	diversity/stanislav_galai_04_23/ViT-B-32,	ViT-B-32
96	stanislav_galai_04_23 (image)	image	fse_with_features	quality	0.607421875	quality/stanislav_galai_04_23/ViT-B-32,	ViT-B-32
97	stanislav_galai_04_23 (image)	image	fse_with_features	diversity	0.35302734375	diversity/stanislav_galai_04_23/ViT-B-32,	ViT-B-32
98	stanislav_galai_04_23 (image)	image	fse_with_generator_shift	quality	0.64111328125	quality/stanislav_galai_04_23/ViT-B-32,	ViT-B-32
99	stanislav_galai_04_23 (image)	image	fse_with_generator_shift	diversity	0.3388671875	diversity/stanislav_galai_04_23/ViT-B-32,	ViT-B-32
100	anastasia (image)	image	orig	quality	0.677734375	quality/anastasia/ViT-B-32,	ViT-B-32
101	anastasia (image)	image	orig	diversity	0.26708984375	diversity/anastasia/ViT-B-32,	ViT-B-32
102	anastasia (image)	image	e4e	quality	0.67431640625	quality/anastasia/ViT-B-32,	ViT-B-32
103	anastasia (image)	image	e4e	diversity	0.2435302734375	diversity/anastasia/ViT-B-32,	ViT-B-32
104	anastasia (image)	image	fse	quality	0.67724609375	quality/anastasia/ViT-B-32,	ViT-B-32
105	anastasia (image)	image	fse	diversity	0.2451171875	diversity/anastasia/ViT-B-32,	ViT-B-32
106	anastasia (image)	image	fse_with_features	quality	0.595703125	quality/anastasia/ViT-B-32,	ViT-B-32
107	anastasia (image)	image	fse_with_features	diversity	0.342529296875	diversity/anastasia/ViT-B-32,	ViT-B-32
108	anastasia (image)	image	fse_with_generator_shift	quality	0.6201171875	quality/anastasia/ViT-B-32,	ViT-B-32
109	anastasia (image)	image	fse_with_generator_shift	diversity	0.319580078125	diversity/anastasia/ViT-B-32,	ViT-B-32
110	sketch (image)	image	orig	quality	0.505859375	quality/sketch/ViT-B-32,	ViT-B-32
111	sketch (image)	image	orig	diversity	0.157470703125	diversity/sketch/ViT-B-32,	ViT-B-32
112	sketch (image)	image	e4e	quality	0.51708984375	quality/sketch/ViT-B-32,	ViT-B-32
113	sketch (image)	image	e4e	diversity	0.1729736328125	diversity/sketch/ViT-B-32,	ViT-B-32
114	sketch (image)	image	fse	quality	0.513671875	quality/sketch/ViT-B-32,	ViT-B-32
115	sketch (image)	image	fse	diversity	0.1636962890625	diversity/sketch/ViT-B-32,	ViT-B-32
116	sketch (image)	image	fse_with_features	quality	0.5	quality/sketch/ViT-B-32,	ViT-B-32
117	sketch (image)	image	fse_with_features	diversity	0.299072265625	diversity/sketch/ViT-B-32,	ViT-B-32
118	sketch (image)	image	fse_with_generator_shift	quality	0.52685546875	quality/sketch/ViT-B-32,	ViT-B-32
119	sketch (image)	image	fse_with_generator_shift	diversity	0.2568359375	diversity/sketch/ViT-B-32,	ViT-B-32
120	maria_trepalina_img_6833_1 (image)	image	orig	quality	0.7548828125	quality/maria_trepalina_img_6833_1/ViT-B-32,	ViT-B-32
121	maria_trepalina_img_6833_1 (image)	image	orig	diversity	0.25341796875	diversity/maria_trepalina_img_6833_1/ViT-B-32,	ViT-B-32
122	maria_trepalina_img_6833_1 (image)	image	e4e	quality	0.744140625	quality/maria_trepalina_img_6833_1/ViT-B-32,	ViT-B-32
123	maria_trepalina_img_6833_1 (image)	image	e4e	diversity	0.244873046875	diversity/maria_trepalina_img_6833_1/ViT-B-32,	ViT-B-32
124	maria_trepalina_img_6833_1 (image)	image	fse	quality	0.73388671875	quality/maria_trepalina_img_6833_1/ViT-B-32,	ViT-B-32
125	maria_trepalina_img_6833_1 (image)	image	fse	diversity	0.25390625	diversity/maria_trepalina_img_6833_1/ViT-B-32,	ViT-B-32
126	maria_trepalina_img_6833_1 (image)	image	fse_with_features	quality	0.64306640625	quality/maria_trepalina_img_6833_1/ViT-B-32,	ViT-B-32
127	maria_trepalina_img_6833_1 (image)	image	fse_with_features	diversity	0.327392578125	diversity/maria_trepalina_img_6833_1/ViT-B-32,	ViT-B-32
128	maria_trepalina_img_6833_1 (image)	image	fse_with_generator_shift	quality	0.67041015625	quality/maria_trepalina_img_6833_1/ViT-B-32,	ViT-B-32
129	maria_trepalina_img_6833_1 (image)	image	fse_with_generator_shift	diversity	0.3134765625	diversity/maria_trepalina_img_6833_1/ViT-B-32,	ViT-B-32
130	rain_artwork_dtiyschallennge (image)	image	orig	quality	0.74072265625	quality/rain_artwork_dtiyschallennge/ViT-B-32,	ViT-B-32
131	rain_artwork_dtiyschallennge (image)	image	orig	diversity	0.2142333984375	diversity/rain_artwork_dtiyschallennge/ViT-B-32,	ViT-B-32
132	rain_artwork_dtiyschallennge (image)	image	e4e	quality	0.72998046875	quality/rain_artwork_dtiyschallennge/ViT-B-32,	ViT-B-32
133	rain_artwork_dtiyschallennge (image)	image	e4e	diversity	0.1956787109375	diversity/rain_artwork_dtiyschallennge/ViT-B-32,	ViT-B-32
134	rain_artwork_dtiyschallennge (image)	image	fse	quality	0.71630859375	quality/rain_artwork_dtiyschallennge/ViT-B-32,	ViT-B-32
