	s_domain	encoder_type	metric_name	metric_value
102	oliver_wetter_corie_lynn_concept_1_final_back_web	orig	quality/oliver_wetter_corie_lynn_concept_final_back_web/ViT-B-16,	0.1654052734375
103	oliver_wetter_corie_lynn_concept_1_final_back_web	orig	diversity/oliver_wetter_corie_lynn_concept_final_back_web/ViT-B-16,	0.2449951171875
104	oliver_wetter_corie_lynn_concept_1_final_back_web	e4e	quality/oliver_wetter_corie_lynn_concept_final_back_web/ViT-B-32,	0.23583984375
105	oliver_wetter_corie_lynn_concept_1_final_back_web	e4e	diversity/oliver_wetter_corie_lynn_concept_final_back_web/ViT-B-32,	0.256591796875
106	oliver_wetter_corie_lynn_concept_1_final_back_web	e4e	quality/oliver_wetter_corie_lynn_concept_final_back_web/ViT-B-16,	0.149169921875
107	oliver_wetter_corie_lynn_concept_1_final_back_web	e4e	diversity/oliver_wetter_corie_lynn_concept_final_back_web/ViT-B-16,	0.234130859375
108	oliver_wetter_corie_lynn_concept_1_final_back_web	fse	quality/oliver_wetter_corie_lynn_concept_final_back_web/ViT-B-32,	0.23779296875
109	oliver_wetter_corie_lynn_concept_1_final_back_web	fse	diversity/oliver_wetter_corie_lynn_concept_final_back_web/ViT-B-32,	0.2476806640625
110	oliver_wetter_corie_lynn_concept_1_final_back_web	fse	quality/oliver_wetter_corie_lynn_concept_final_back_web/ViT-B-16,	0.153076171875
111	oliver_wetter_corie_lynn_concept_1_final_back_web	fse	diversity/oliver_wetter_corie_lynn_concept_final_back_web/ViT-B-16,	0.229736328125
112	oliver_wetter_corie_lynn_concept_1_final_back_web	fse_with_features	quality/oliver_wetter_corie_lynn_concept_final_back_web/ViT-B-32,	0.228515625
113	oliver_wetter_corie_lynn_concept_1_final_back_web	fse_with_features	diversity/oliver_wetter_corie_lynn_concept_final_back_web/ViT-B-32,	0.33447265625
114	oliver_wetter_corie_lynn_concept_1_final_back_web	fse_with_features	quality/oliver_wetter_corie_lynn_concept_final_back_web/ViT-B-16,	0.1466064453125
115	oliver_wetter_corie_lynn_concept_1_final_back_web	fse_with_features	diversity/oliver_wetter_corie_lynn_concept_final_back_web/ViT-B-16,	0.299072265625
116	oliver_wetter_corie_lynn_concept_1_final_back_web	fse_with_generator_shift	quality/oliver_wetter_corie_lynn_concept_final_back_web/ViT-B-32,	0.2327880859375
117	oliver_wetter_corie_lynn_concept_1_final_back_web	fse_with_generator_shift	diversity/oliver_wetter_corie_lynn_concept_final_back_web/ViT-B-32,	0.3212890625
118	oliver_wetter_corie_lynn_concept_1_final_back_web	fse_with_generator_shift	quality/oliver_wetter_corie_lynn_concept_final_back_web/ViT-B-16,	0.149169921875
119	oliver_wetter_corie_lynn_concept_1_final_back_web	fse_with_generator_shift	diversity/oliver_wetter_corie_lynn_concept_final_back_web/ViT-B-16,	0.290771484375
120	murasaki_nora_asuya	orig	quality/murasaki_nora_asuya/ViT-B-32,	0.197265625
121	murasaki_nora_asuya	orig	diversity/murasaki_nora_asuya/ViT-B-32,	0.2413330078125
122	murasaki_nora_asuya	orig	quality/murasaki_nora_asuya/ViT-B-16,	0.200927734375
123	murasaki_nora_asuya	orig	diversity/murasaki_nora_asuya/ViT-B-16,	0.223388671875
124	murasaki_nora_asuya	e4e	quality/murasaki_nora_asuya/ViT-B-32,	0.1951904296875
125	murasaki_nora_asuya	e4e	diversity/murasaki_nora_asuya/ViT-B-32,	0.2257080078125
126	murasaki_nora_asuya	e4e	quality/murasaki_nora_asuya/ViT-B-16,	0.205078125
127	murasaki_nora_asuya	e4e	diversity/murasaki_nora_asuya/ViT-B-16,	0.212646484375
128	murasaki_nora_asuya	fse	quality/murasaki_nora_asuya/ViT-B-32,	0.19873046875
129	murasaki_nora_asuya	fse	diversity/murasaki_nora_asuya/ViT-B-32,	0.2216796875
130	murasaki_nora_asuya	fse	quality/murasaki_nora_asuya/ViT-B-16,	0.2086181640625
131	murasaki_nora_asuya	fse	diversity/murasaki_nora_asuya/ViT-B-16,	0.207275390625
132	murasaki_nora_asuya	fse_with_features	quality/murasaki_nora_asuya/ViT-B-32,	0.1851806640625
133	murasaki_nora_asuya	fse_with_features	diversity/murasaki_nora_asuya/ViT-B-32,	0.314453125
134	murasaki_nora_asuya	fse_with_features	quality/murasaki_nora_asuya/ViT-B-16,	0.18896484375
135	murasaki_nora_asuya	fse_with_features	diversity/murasaki_nora_asuya/ViT-B-16,	0.28515625
136	murasaki_nora_asuya	fse_with_generator_shift	quality/murasaki_nora_asuya/ViT-B-32,	0.1864013671875
137	murasaki_nora_asuya	fse_with_generator_shift	diversity/murasaki_nora_asuya/ViT-B-32,	0.29541015625
138	murasaki_nora_asuya	fse_with_generator_shift	quality/murasaki_nora_asuya/ViT-B-16,	0.1942138671875
139	murasaki_nora_asuya	fse_with_generator_shift	diversity/murasaki_nora_asuya/ViT-B-16,	0.270751953125
140	disney_princess	orig	quality/disney_princess/ViT-B-32,	0.289306640625
141	disney_princess	orig	diversity/disney_princess/ViT-B-32,	0.1724853515625
142	disney_princess	orig	quality/disney_princess/ViT-B-16,	0.300537109375
143	disney_princess	orig	diversity/disney_princess/ViT-B-16,	0.1612548828125
144	disney_princess	e4e	quality/disney_princess/ViT-B-32,	0.2880859375
145	disney_princess	e4e	diversity/disney_princess/ViT-B-32,	0.157958984375
146	disney_princess	e4e	quality/disney_princess/ViT-B-16,	0.29931640625
147	disney_princess	e4e	diversity/disney_princess/ViT-B-16,	0.1373291015625
148	disney_princess	fse	quality/disney_princess/ViT-B-32,	0.2841796875
149	disney_princess	fse	diversity/disney_princess/ViT-B-32,	0.1680908203125
150	disney_princess	fse	quality/disney_princess/ViT-B-16,	0.296142578125
151	disney_princess	fse	diversity/disney_princess/ViT-B-16,	0.146484375
152	disney_princess	fse_with_features	quality/disney_princess/ViT-B-32,	0.24658203125
153	disney_princess	fse_with_features	diversity/disney_princess/ViT-B-32,	0.3173828125
154	disney_princess	fse_with_features	quality/disney_princess/ViT-B-16,	0.254638671875
155	disney_princess	fse_with_features	diversity/disney_princess/ViT-B-16,	0.291259765625
156	disney_princess	fse_with_generator_shift	quality/disney_princess/ViT-B-32,	0.2724609375
157	disney_princess	fse_with_generator_shift	diversity/disney_princess/ViT-B-32,	0.2305908203125
158	disney_princess	fse_with_generator_shift	quality/disney_princess/ViT-B-16,	0.281982421875
159	disney_princess	fse_with_generator_shift	diversity/disney_princess/ViT-B-16,	0.204345703125
160	remi_castaneda_sean_connery_final	orig	quality/remi_castaneda_sean_connery_final/ViT-B-32,	0.276123046875
161	remi_castaneda_sean_connery_final	orig	diversity/remi_castaneda_sean_connery_final/ViT-B-32,	0.26171875
